Timestamp,entry.923603719,entry.554932361,entry.1672505170,entry.962003544,entry.255587568,entry.612613808,entry.80696487,entry.1876721597,entry.1521108961,entry.130945040,entry.1075288078,entry.659638895,entry.330886809,entry.1634516718,entry.1775119140,entry.413983438,entry.1273514916,entry.520272558,entry.1000274638,entry.265359321,entry.1572500048,entry.1480233952,entry.1160159915,entry.1627086245,entry.1142213949,entry.98642955,entry.1424986760,entry.457665241,entry.1419529889,entry.1493937335,entry.200474320,entry.1678691419,entry.1127065946,entry.1889439988,entry.682072584,entry.696086050,entry.805206222
31/03/2015 12:09,De 29 a 39 años,Femenino,De 6-12 años,Casado,Administrativo.,Sector de servicios,Si,Definitivamente si,De acuerdo,Probablemente si,Alto,Bueno,Satisfecho,Probablemente si,Utiles,Probablemente si,Muy bueno,Indeciso,Inadecuada,Probablemente si,Adecuadas,Amplio,Probablemente si,Motivador y enriquecedor,Probablemente si,Si,En algunas áreas de trabajo,No,Indeciso,Si,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Probablemente no,"Utilización de equipos de trabajo y equipo de protección, Diseño de procesos seguros, Revisión periódica del ambiente de trabajo"
31/03/2015 13:57,De 29 a 39 años,Femenino,De 6-12 años,Soltero,Gerencial.,Sector de servicios,No,Probablemente no,En desacuerdo,Probablemente no,"Ni alto, ni bajo",Regular,"Ni satisfecho, ni insatisfecho",Probablemente no,Utiles,Probablemente si,Muy bueno,Probablemente si,Adecuada,Probablemente no,Muy adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Probablemente no,Si,En ninguna de las áreas de trabajo,No,Definitivamente no,Si,No ha habido cambios,Indeciso,Probablemente si,Ninguna de las anteriores,No,Probablemente si,Ninguna de las anteriores
31/03/2015 14:38,De 29 a 39 años,Femenino,De 1-5 años,Soltero,Gerencial.,Sector de servicios,Si,Definitivamente si,Muy de acuerdo,Probablemente si,Muy alto,Regular,Satisfecho,Definitivamente si,Muy útiles,Definitivamente si,Regular,Probablemente si,Inadecuada,Probablemente si,Muy adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Definitivamente si,Si,En ninguna de las áreas de trabajo,Si,Indeciso,Si,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Utilización de equipos de trabajo y equipo de protección
31/03/2015 15:51,De 40 a 50 años,Masculino,De 6-12 años,Casado,Operativo.,Sector comercial,si,Definitivamente si,Muy de acuerdo,Definitivamente si,Muy alto,Muy bueno,Satisfecho,Definitivamente si,Utiles,Definitivamente si,Muy bueno,Definitivamente si,Adecuada,Definitivamente si,Adecuadas,Limitado,Probablemente si,Motivador y enriquecedor,Definitivamente si,Si,En todas las áreas de trabajo,Si,Definitivamente si,Si,Han disminuido,Definitivamente si,Definitivamente si,Uso de Señalización de áreas de peligro,No,Probablemente no,Ninguna de las anteriores
06/04/2015 09:55,De 29 a 39 años,Masculino,De 1-5 años,Casado,Técnico.,Sector comercial,Si,Definitivamente si,De acuerdo,Probablemente si,Alto,Muy bueno,Satisfecho,Probablemente si,Muy útiles,Definitivamente si,Regular,Indeciso,"Ni adecuada, ni inadecuada",Probablemente si,Adecuadas,Amplio,Definitivamente si,Motivador y enriquecedor,Probablemente si,No,En algunas áreas de trabajo,No,Probablemente no,No,Han disminuido,Probablemente si,Probablemente si,Uso de Extintores en alguna áreas,No,Probablemente no,Diseño de procesos seguros
06/04/2015 11:04,De 40 a 50 años,Femenino,De 6-12 años,Casado,Gerencial.,Sector de servicios,Si,Probablemente si,Indeciso,Indeciso,Alto,Bueno,Satisfecho,Indeciso,Utiles,Definitivamente si,Muy bueno,Indeciso,"Ni adecuada, ni inadecuada",Probablemente no,"Ni adecuadas, ni inadecuadas",Limitado,Probablemente si,Motivador y enriquecedor,Indeciso,No,En algunas áreas de trabajo,No,Indeciso,No,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Ninguna de las anteriores
06/04/2015 11:09,Más de 51 años,Masculino,Más de 17 años,Casado,Administrativo.,Sector comercial,Si,Definitivamente si,De acuerdo,Probablemente si,"Ni alto, ni bajo",Muy bueno,Muy satisfecho,Definitivamente si,"Ni útiles, ni inútiles",Definitivamente si,Muy bueno,Probablemente si,"Ni adecuada, ni inadecuada",Probablemente si,Adecuadas,Amplio,Definitivamente si,Muy motivador y muy enriquecedor,Definitivamente si,Si,En ninguna de las áreas de trabajo,No,Definitivamente No,Si,Han disminuido,Definitivamente si,Definitivamente si,Todas las anteriores,No,Definitivamente si,Revisión periódica del ambiente de trabajo
06/04/2015 15:36,Más de 51 años,Masculino,Más de 17 años,Casado,Operativo.,Sector comercial,Si,Definitivamente si,De acuerdo,Probablemente si,Alto,Regular,Satisfecho,Probablemente si,"Ni útiles, ni inútiles",Definitivamente si,Regular,Probablemente no,Adecuada,Probablemente si,Adecuadas,Amplio,Definitivamente si,Muy motivador y muy enriquecedor,Indeciso,Si,En algunas áreas de trabajo,No,Indeciso,No,No ha habido cambios,Indeciso,Probablemente si,Uso de Extintores en alguna áreas,No,Probablemente si,Revisión periódica del ambiente de trabajo
06/04/2015 15:38,De 18 a 28 años,Femenino,Menos de 1 año,Soltero,Operativo.,Sector comercial,No,Indeciso,Indeciso,Indeciso,"Ni alto, ni bajo",Regular,"Ni satisfecho, ni insatisfecho",Indeciso,"Ni útiles, ni inútiles",Indeciso,Regular,Indeciso,"Ni adecuada, ni inadecuada",Indeciso,"Ni adecuadas, ni inadecuadas","Ni amplio, ni limitado",Indeciso,Motivador y enriquecedor,Indeciso,No,En algunas áreas de trabajo,No,Indeciso,No,No ha habido cambios,Indeciso,Indeciso,Ninguna de las anteriores,No,Indeciso,Ninguna de las anteriores
06/04/2015 15:43,De 18 a 28 años,Masculino,Menos de 1 año,Soltero,Técnico.,Sector industrial,Si,Probablemente si,Indeciso,Probablemente no,Alto,Bueno,"Ni satisfecho, ni insatisfecho",Probablemente si,Utiles,Definitivamente si,Muy bueno,Probablemente si,Inadecuada,Indeciso,"Ni adecuadas, ni inadecuadas",Amplio,Probablemente si,Motivador y enriquecedor,Probablemente no,No,En todas las áreas de trabajo,No,Indeciso,No,No ha habido cambios,Indeciso,Probablemente si,Uso de Señalización de áreas de peligro,No,Indeciso,Revisión periódica del ambiente de trabajo
